diff,distance,value
312515,25.2887678,201
312520,25.2887678,221
312525,25.2887678,237
312529,25.2887678,248
312534,25.2887678,263
312539,25.2887678,265
312544,25.2887678,269
312549,25.2887678,289
312554,25.2887678,289
312559,25.2887678,285
312564,25.2887678,287
312569,25.2887678,294
312573,25.2887678,274
312578,25.2887678,277
312583,25.2887678,276
312588,25.2887678,278
312593,25.2887678,271
312598,25.2887678,267
312603,25.2887678,267
312608,25.2887678,262
312613,25.2887678,268
312617,25.2887678,270
312622,25.2887678,268
312627,25.2887678,261
312632,25.2887678,273
312637,25.2887678,264
312642,25.2887678,268
312647,25.2887678,275
312652,25.2887678,270
312657,25.2887678,273
312661,25.2887678,281
312666,25.3829107,277
312671,25.3829107,283
312676,25.3829107,296
312681,25.3829107,295
312686,25.3829107,298
312691,25.3829107,302
312696,25.3829107,302
312701,25.3829107,300
312705,25.3829107,286
312710,25.51423234,308
312715,25.51423234,321
312720,25.51423234,311
312725,25.51423234,310
312730,25.51423234,304
312735,25.51423234,313
312740,25.3829107,323
312745,25.4201732,315
312749,25.4201732,313
312754,25.4201732,338
312759,25.4201732,350
312764,25.4201732,359
312769,25.4201732,333
312774,25.4201732,318
312779,25.4201732,333
312784,25.4201732,337
312789,25.4201732,349
312793,25.4201732,323
312798,25.4201732,314
312803,25.4201732,325
312808,25.4201732,326
312813,25.4201732,295
312818,25.4201732,272
312823,25.4201732,277
312828,25.4201732,289
312833,25.51423234,295
312837,25.51423234,287
312842,25.51423234,287
312847,25.51423234,269
312852,25.51423234,274
312857,25.51423234,275
312862,25.51423234,272
312867,25.51423234,277
312872,25.4201732,280
312877,25.4201732,291
312881,25.4201732,278
312886,25.45778422,274
312891,25.45778422,270
312896,25.45778422,273
312901,25.45778422,262
312906,25.45778422,271
312911,25.45778422,269
312916,25.45778422,266
312921,25.45778422,267
312925,25.45778422,258
312930,25.45778422,266
312935,25.45778422,267
312940,25.45778422,279
312945,25.45778422,271
312950,25.45778422,261
312955,25.4201732,252
312960,25.3829107,249
312965,25.44033256,234
312969,25.44033256,231
312974,25.53471958,226
312979,25.53471958,225
312984,25.5713587,222
312989,25.5713587,221
312994,25.5713587,220
312999,25.5713587,215
313004,25.53471958,215
313009,25.62915874,217
313013,25.62915874,212
313018,25.62915874,215
313023,25.62915874,219
313028,25.62915874,220
313033,25.62915874,230
313038,25.62915874,228
313043,25.62915874,224
313048,25.62915874,223
313053,25.53471958,215
313057,25.5713587,216
313062,25.5713587,230
313067,25.5713587,238
313072,25.5713587,246
313077,25.5713587,256
313082,25.5713587,262
313087,25.5713587,265
313092,25.53471958,258
313097,25.53471958,250
313101,25.53471958,247
