diff,distance,cos,sin,value
900060,9.74666812,-0.99645051,-0.084180652,229
900055,9.74666812,-0.99645051,-0.084180652,231
900050,9.74666812,-0.99645051,-0.084180652,236
900045,9.74666812,-0.99645051,-0.084180652,236
900040,9.74666812,-0.99645051,-0.084180652,241
900035,9.74666812,-0.99645051,-0.084180652,235
900030,9.74666812,-0.99645051,-0.084180652,233
900026,9.74666812,-0.99645051,-0.084180652,232
900021,9.74666812,-0.99645051,-0.084180652,233
900016,9.74666812,-0.99645051,-0.084180652,229
900011,9.74666812,-0.99645051,-0.084180652,232
900006,9.746483206,-0.996450378,-0.08418221,229
900001,9.74649368,-0.996448819,-0.084200661,233
899996,9.74649368,-0.996448819,-0.084200661,226
899991,9.74649368,-0.996448819,-0.084200661,229
899986,9.74649368,-0.996448819,-0.084200661,228
899981,9.74649368,-0.996448819,-0.084200661,222
899977,9.746504157,-0.99644726,-0.084219112,221
899972,9.746319242,-0.996447128,-0.084220671,218
899967,9.746134328,-0.996446996,-0.084222231,215
899962,9.745949414,-0.996446864,-0.08422379,215
899957,9.7457645,-0.996446732,-0.08422535,218
899952,9.7457645,-0.996446732,-0.08422535,215
899947,9.745579586,-0.996446601,-0.08422691,213
899942,9.745569109,-0.99644816,-0.084208457,208
899937,9.745569109,-0.99644816,-0.084208457,211
899932,9.745569109,-0.99644816,-0.084208457,199
899928,9.745569109,-0.99644816,-0.084208457,201
899923,9.745569109,-0.99644816,-0.084208457,200
899918,9.745569109,-0.99644816,-0.084208457,199
899913,9.745579586,-0.996446601,-0.08422691,195
899908,9.7457645,-0.996446732,-0.08422535,199
899903,9.74577498,-0.996445173,-0.084243802,195
899898,9.74577498,-0.996445173,-0.084243802,194
899893,9.745590066,-0.996445041,-0.084245362,201
899888,9.745600548,-0.99644348,-0.084263814,203
899883,9.745600548,-0.99644348,-0.084263814,206
899879,9.745426119,-0.996441788,-0.084283827,215
899874,9.745436605,-0.996440227,-0.084302279,215
899869,9.745251692,-0.996440095,-0.08430384,218
899864,9.745262181,-0.996438533,-0.084322293,218
899859,9.745077268,-0.996438401,-0.084323854,219
899854,9.745087759,-0.99643684,-0.084342307,210
899849,9.745087759,-0.99643684,-0.084342307,207
899844,9.744717934,-0.996436575,-0.084345431,204
899839,9.744728428,-0.996435013,-0.084363884,203
899834,9.744749423,-0.996431888,-0.084400791,206
899830,9.744564511,-0.996431755,-0.084402354,210
899825,9.744205187,-0.996429927,-0.084423934,222
899820,9.744051793,-0.996425102,-0.084480861,214
899815,9.743887905,-0.996421839,-0.084519335,221
899810,9.744093848,-0.996418841,-0.084554677,233
899805,9.743951028,-0.996412441,-0.084630059,248
899800,9.744188601,-0.996404734,-0.084720758,261
899795,9.744457883,-0.996392305,-0.084866808,285
899790,9.745313748,-0.996375534,-0.085063474,288
899785,9.746297255,-0.996339761,-0.085481463,308
899781,9.747147598,-0.99626848,-0.086308263,323
899776,9.747513947,-0.996103195,-0.088195379,333
899771,9.748842691,-0.996071359,-0.088554207,346
899766,9.749573536,-0.99604554,-0.088844145,341
899761,9.749865149,-0.995974402,-0.089638105,359
899756,9.750245986,-0.995973043,-0.089653212,361
899751,9.752451758,-0.995921315,-0.09022602,349
899746,9.754771652,-0.995741816,-0.092185872,342
899741,9.756969112,-0.995525132,-0.094497151,330
899736,9.757608656,-0.995485226,-0.094916624,324
899732,9.757938869,-0.995436002,-0.095431467,331
899727,9.760070408,-0.995173653,-0.098129507,335
899722,9.762616858,-0.994932585,-0.10054428,328
899717,9.763085798,-0.994807174,-0.10177763,313
899712,9.764756062,-0.994641284,-0.103386251,303
899707,9.766216805,-0.994451151,-0.10519937,305
899702,9.766907644,-0.994292597,-0.106687541,293
899697,9.77890919,-0.994278584,-0.106818057,302
899692,9.795303243,-0.994330805,-0.106330856,297
899687,9.810630234,-0.99437555,-0.105911591,302
899683,9.821841783,-0.994395907,-0.105720292,301
899678,9.835599707,-0.994424842,-0.105447773,291
899673,9.85835471,-0.994471248,-0.105009224,280
899668,9.88422463,-0.994524466,-0.104503998,265
899663,9.914700446,-0.994583985,-0.103936019,247
899658,9.925647846,-0.994588069,-0.103896938,247
899653,9.928279945,-0.99455666,-0.104197174,239
899648,9.930150874,-0.994445805,-0.1052499,227
899643,9.931780283,-0.994370439,-0.105959568,219
899638,9.931988995,-0.994312464,-0.106502227,200
899634,9.932728494,-0.994203857,-0.107511352,196
899629,9.930371438,-0.994140111,-0.108099214,187
899624,9.916931907,-0.99414633,-0.108042001,183
899619,9.906095132,-0.994098099,-0.108484878,182
899614,9.893125063,-0.994035066,-0.109060931,182
899609,9.869504634,-0.99395074,-0.109826805,177
899604,9.846715752,-0.993880686,-0.110458964,204
899599,9.826260706,-0.993823028,-0.110976524,198
899594,9.817455643,-0.993803983,-0.111146947,196
899589,9.810475434,-0.993817958,-0.111021923,193
899585,9.800645319,-0.99378525,-0.111314318,189
899580,9.798061247,-0.993782045,-0.111342924,186
899575,9.792771125,-0.993655252,-0.112468842,184
899570,9.788197272,-0.993504804,-0.113790179,173
899565,9.779944727,-0.993375299,-0.114915251,169
899560,9.768136548,-0.993276081,-0.115769716,157
899555,9.755578724,-0.993205182,-0.116376396,148
899550,9.740642619,-0.993099928,-0.117271196,145
899545,9.720910786,-0.993015428,-0.117984574,125
899540,9.706492428,-0.992999551,-0.118118124,118
899536,9.702458352,-0.993018131,-0.117961826,109
899531,9.699322215,-0.993013718,-0.117998963,109
899526,9.694928792,-0.992974376,-0.118329577,103
899521,9.690293145,-0.992943421,-0.118589048,101
899516,9.689997319,-0.992931901,-0.118685464,97
899511,9.689842113,-0.992927238,-0.118724471,96
899506,9.689502449,-0.99292231,-0.118765681,93
899501,9.689487812,-0.992924511,-0.118747277,104
899496,9.689104244,-0.992926185,-0.118733274,102
899491,9.689288711,-0.992926449,-0.118731073,105
899487,9.689701555,-0.992920372,-0.118781883,108
899482,9.690313528,-0.992912354,-0.118848888,116
899477,9.692489208,-0.992893218,-0.119008643,125
899472,9.695638137,-0.992839768,-0.119453734,133
899467,9.695903463,-0.99279989,-0.119784718,136
899462,9.696903063,-0.992677648,-0.120793574,137
899457,9.697066676,-0.992569085,-0.121682417,134
899452,9.698257716,-0.992390099,-0.123133633,138
899447,9.699554997,-0.992139185,-0.125139274,143
899442,9.699801773,-0.992102108,-0.125432883,138
899438,9.699801773,-0.992102108,-0.125432883,140
899433,9.699817215,-0.992099787,-0.125451233,138
899428,9.699648297,-0.992097173,-0.125471903,135
899423,9.69944849,-0.992099201,-0.125455873,131
899418,9.699264127,-0.992098907,-0.125458194,129
899413,9.699079764,-0.992098614,-0.125460514,122
899408,9.699033441,-0.992105574,-0.125405462,123
899403,9.698864517,-0.992102961,-0.125426133,124
899398,9.698695595,-0.992100347,-0.125446805,129
899393,9.69849579,-0.992102374,-0.125430773,130
899389,9.698127064,-0.992101788,-0.125435414,132
899384,9.698142507,-0.992099467,-0.125453766,128
899379,9.698004487,-0.99209221,-0.125511145,137
899374,9.698019938,-0.992089888,-0.125529497,133
899369,9.698050849,-0.992085243,-0.125566202,131
899364,9.698603932,-0.992086125,-0.125559234,124
899359,9.698988111,-0.99208439,-0.125572939,123
899354,9.69900357,-0.992082067,-0.125591289,121
899349,9.698834671,-0.99207945,-0.125611963,124
899344,9.698850135,-0.992077126,-0.125630313,122
899340,9.698865602,-0.992074802,-0.125648663,120
899335,9.698512351,-0.992071889,-0.125671662,124
899330,9.698712181,-0.992069859,-0.125687688,123
899325,9.698865602,-0.992074802,-0.125648663,128
899320,9.69889654,-0.992070153,-0.125685363,120
899315,9.698620696,-0.992055609,-0.125800114,125
899310,9.698436339,-0.992055314,-0.125802441,126
899305,9.697898756,-0.992052101,-0.125827773,139
899300,9.698313944,-0.992045708,-0.125878168,137
899295,9.698560297,-0.992036688,-0.125949237,133
899291,9.698622329,-0.992027367,-0.126022632,126
899286,9.698146862,-0.992014818,-0.126121371,128
899281,9.698377796,-0.992008115,-0.126174083,132
899276,9.698777563,-0.992004041,-0.12620611,129
899271,9.699546037,-0.992000561,-0.126233466,125
899266,9.699546037,-0.992000561,-0.126233466,131
899261,9.700130166,-0.991996783,-0.126263152,132
899256,9.700729847,-0.991990669,-0.126311177,131
899251,9.701867037,-0.991987782,-0.126333847,129
899246,9.702466739,-0.991981666,-0.126381858,137
899242,9.702651087,-0.991981964,-0.126379522,155
899237,9.702697763,-0.991974953,-0.126434539,182
